"Player","SC","MC","LC","Alley","Cutting","Driving","Dunk","Fadeaway","Hook","Jump","Layup","Pullup","Running","Stepback","Tip","Turnaround","FTp","REBp","ASTp","TOVp","STLp","BLKp","ASD"
"Henry Walker",0.454545454545455,0.5,0.355932203389831,0,0,0.625,1,0,0,0.342657342657343,0.75,0,0,1,0,0,0.777777777777778,0.130781499202552,0.0462519936204147,0.0382775119617225,0.0382775119617225,0.0143540669856459,7.39907
"Hollis Thompson",0.482558139534884,0.371428571428571,0.385915492957746,1,1,0.805825242718447,0.916666666666667,0.75,0.5,0.368421052631579,0.56,0.689655172413793,0.738095238095238,0.535714285714286,0.476190476190476,0.333333333333333,0.711610486891386,0.127024722932651,0.0453537936913896,0.0347826086956522,0.0259164535379369,0.0105711849957374,5.53663
"Ian Clark",0.719457013574661,0.498039215686275,0.364406779661017,0,0.888888888888889,0.692307692307692,0,0.666666666666667,0.5,0.399416909620991,0.688172043010753,0.514792899408284,0.758928571428571,0.571428571428571,0,0.636363636363636,0.777777777777778,0.100118483412322,0.0832345971563981,0.0506516587677725,0.0296208530805687,0.0100710900473934,6.0741
"Ian Mahinmi",0.640350877192982,0.26605504587156,0,0.764705882352941,0.977777777777778,0.669491525423729,0.928571428571429,0,0.543478260869565,0.359307359307359,0.711779448621554,0,0.754385964912281,0,0.482758620689655,0.654545454545455,0.571851851851852,0.267320040554241,0.0393714092598851,0.0593105778979385,0.0349780331192971,0.0437647854004731,0.58946
"Iman Shumpert",0.458646616541353,0.427145708582834,0.33698296836983,0.714285714285714,1,0.692307692307692,0.625,0.5,0.25,0.348787446504993,0.580246913580247,0.565891472868217,0.833333333333333,0.533333333333333,0.444444444444444,0.5,0.759842519685039,0.142344870595572,0.0629872154661678,0.0434985968194574,0.0417835983785469,0.0118490801371999,5.58165
"Isaiah Canaan",0.636363636363636,0.358974358974359,0.346820809248555,0,0,0.666666666666667,0,0.333333333333333,0.5,0.321156773211568,0.555555555555556,0.618181818181818,0.804878048780488,0.652173913043478,0,0,0.82509505703422,0.088484468151867,0.0705993096956385,0.0489488547223094,0.0313774709758393,0.00533417006589269,7.40799
"Isaiah Taylor",0.741935483870968,0.432432432432432,0.25,0,0,0.608465608465608,0,0,0,0.292035398230089,0.666666666666667,0.32,0.676470588235294,0.5,0,0,0.699300699300699,0.0796387520525452,0.171592775041051,0.0689655172413793,0.028735632183908,0.0090311986863711,2.98308
"Isaiah Thomas",0.622254758418741,0.447303921568627,0.380010689470871,1,1,0.749514563106796,0,0.6125,0.541666666666667,0.36560409287682,0.60377358490566,0.514760147601476,0.693798449612403,0.577586206896552,0,0.333333333333333,0.879224376731302,0.084526558891455,0.183833718244804,0.0852193995381062,0.0317551963048499,0.00369515011547344,6.17585
"Isaiah Whitehead",0.650602409638554,0.360655737704918,0.307692307692308,0,0,0.671875,1,0,0,0.340909090909091,0.611111111111111,0.481481481481481,0.711111111111111,0.166666666666667,0,0,0.787878787878788,0.11500547645126,0.116100766703176,0.0909090909090909,0.0273822562979189,0.0208105147864184,3.90486
"Ish Smith",0.523908523908524,0.439482961222092,0.304945054945055,1,0.5,0.72887323943662,1,0.41304347826087,0.666666666666667,0.3301393728223,0.408026755852843,0.588709677419355,0.712418300653595,0.484210526315789,1,0.428571428571429,0.692556634304207,0.122212618841832,0.196888504753673,0.058599827139153,0.0349178910976664,0.012618841832325,4.47937
"Ivan Rabb",0.703703703703704,0.535714285714286,0,0.875,1,0.705882352941177,1,1,0.5,0.511627906976744,0.65,0.4,0.8,0.6,0,0.3125,0.805555555555556,0.305019305019305,0.0617760617760618,0.0675675675675676,0.0231660231660232,0.0250965250965251,2.0283
"Ivica Zubac",0.548780487804878,0.617647058823529,0,0.75,1,0.608695652173913,1,0.5,0.5,0.542168674698795,0.731707317073171,0,0.75,0,1,0.516129032258065,0.71,0.275929549902153,0.0538160469667319,0.0547945205479452,0.0215264187866928,0.0469667318982387,1.36877
"Jabari Brown",0.526315789473684,0.411764705882353,0.366666666666667,0,0,0.875,1,0,0,0.37962962962963,0.5,1,0.2,0.75,0,0,0.752941176470588,0.0634920634920635,0.0705467372134039,0.0564373897707231,0.0211640211640212,0.00352733686067019,5.68814
"Jabari Parker",0.5470737913486,0.381625441696113,0.358108108108108,0.85,1,0.770186335403727,0.912,0.384615384615385,0.324324324324324,0.357798165137615,0.644067796610169,0.48695652173913,0.889570552147239,0.449275362318841,0.666666666666667,0.4,0.747349823321555,0.177706552706553,0.0664173789173789,0.0535968660968661,0.0311609686609687,0.0117521367521368,3.86567
"Jae Crowder",0.657142857142857,0.363478260869565,0.349968010236724,0.761904761904762,0.916666666666667,0.709897610921502,1,0.402985074626866,0.5,0.355105795768169,0.696022727272727,0.393700787401575,0.794979079497908,0.272727272727273,0.466666666666667,0.384615384615385,0.805142083897158,0.164236111111111,0.056712962962963,0.0329861111111111,0.0412037037037037,0.0128472222222222,5.93559
"Jahlil Okafor",0.573232323232323,0.358024691358025,0.285714285714286,0.75,1,0.786163522012579,0.9375,0.6,0.568627450980392,0.385185185185185,0.720306513409962,0.536585365853659,0.916666666666667,0.470588235294118,0,0.55,0.684350132625995,0.225237005557372,0.0438051650866296,0.0761686825760052,0.014710689767898,0.0411899313501144,1.99342
"JaKarr Sampson",0.574074074074074,0.35,0.255102040816327,1,0,0.88135593220339,0.909090909090909,0,0.5,0.304347826086957,0.616666666666667,0.6,0.857142857142857,0,0,1,0.674074074074074,0.1549512570549,0.0523345305284761,0.0528476141611083,0.0297588506926629,0.0333504361210877,2.48751
"Jakob Poeltl",0.730263157894737,0.368421052631579,0.333333333333333,0.705882352941177,0.948717948717949,0.614754098360656,1,0,0.586206896551724,0.510204081632653,0.827586206896552,0,0.810526315789474,0,1,0.382352941176471,0.575949367088608,0.25953488372093,0.032093023255814,0.0530232558139535,0.026046511627907,0.0558139534883721,0.42236
"Jamal Crawford",0.549808429118774,0.440441603718768,0.346659051970303,1,1,0.667441860465116,1,0.446808510638298,0.416666666666667,0.354328165374677,0.454545454545455,0.519701810436635,0.558823529411765,0.684210526315789,1,0.5,0.88458225667528,0.0672415563083872,0.0988604866030182,0.0584128939533929,0.0278205523046915,0.00626219074017041,8.24415
